TransactionID	CustomerID	CustomerDOB	CustomerGender	CustomerLocation	CustomerAccountBalance	TransactionDate	TransactionTime	TransactionAmount	Customer Age	Account Bal Status	TransactionMonth	TransactionDay	Age Range	Clean Customer Age	Customer Cluster
T48356	C7820030	Sunday, March 12, 1989	M	MUMBAI	121747.74	Wednesday, August 3, 2016	3:12:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster1
T50930	C5340183	Monday, December 11, 1989	M	MUMBAI	3675.99	Wednesday, August 3, 2016	5:55:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T57952	C6366139	Saturday, January 7, 1989	M	MUMBAI	22968.41	Wednesday, August 3, 2016	10:43:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T58949	C2037675	Sunday, February 26, 1989	M	MUMBAI	10352	Wednesday, August 3, 2016	10:20:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T62635	C5749255	Monday, September 18, 1989	M	MUMBAI	3904.73	Tuesday, August 2, 2016	10:27:00 AM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T70005	C4665033	Monday, December 25, 1989	M	MUMBAI	544751.73	Tuesday, August 2, 2016	2:44:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T72063	C1937817	Thursday, October 26, 1989	M	MUMBAI	50947.92	Tuesday, August 2, 2016	5:30:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T81055	C8512483	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:39:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T81266	C5812413	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:41:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T81891	C4012480	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:40:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T81903	C3512424	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:38:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T82238	C6412448	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:42:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T84206	C1412474	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:43:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T84215	C3112453	Sunday, November 26, 1989	M	MUMBAI	23333.96	Monday, August 1, 2016	5:44:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T88549	C6056036	Monday, November 20, 1989	M	MUMBAI	14608.71	Monday, August 1, 2016	3:12:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T94808	C6026362	Friday, July 7, 1989	M	MUMBAI	45862.13	Monday, August 1, 2016	1:43:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T95350	C5226359	Friday, July 7, 1989	M	MUMBAI	45862.13	Monday, August 1, 2016	1:32:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T96128	C4029556	Monday, October 30, 1989	M	MUMBAI	19711.89	Monday, August 1, 2016	1:42:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T101496	C4512540	Monday, May 8, 1989	M	MUMBAI	432.92	Monday, August 1, 2016	7:37:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T102298	C5018763	Monday, October 23, 1989	M	MUMBAI	134700.02	Monday, August 1, 2016	6:46:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T103019	C4111378	Tuesday, October 24, 1989	M	MUMBAI	22595.91	Monday, August 1, 2016	2:48:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T109133	C2227418	Tuesday, March 21, 1989	M	MUMBAI	1.6	Saturday, August 6, 2016	12:03:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T110851	C8338262	Wednesday, April 19, 1989	M	MUMBAI	1984.34	Saturday, August 6, 2016	10:47:00 AM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T114297	C6927452	Tuesday, March 21, 1989	M	MUMBAI	1.6	Saturday, August 6, 2016	12:22:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster2
T118545	C1634524	Thursday, February 9, 1989	M	MUMBAI	20928.46	Saturday, August 6, 2016	3:27:00 PM	500	27	Valid	Aug-16	Saturday	26-35	27	Cluster1
T131296	C6840880	Tuesday, December 12, 1989	M	MUMBAI	13	Friday, August 5, 2016	12:43:00 AM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster1
T138768	C8156037	Monday, November 20, 1989	M	MUMBAI	14608.71	Friday, August 5, 2016	4:35:00 PM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T142089	C3234338	Tuesday, January 17, 1989	M	MUMBAI	7515.3	Friday, August 5, 2016	12:52:00 PM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T152634	C8439665	Sunday, July 30, 1989	M	MUMBAI	89318.59	Thursday, August 4, 2016	9:25:00 AM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T169570	C4039760	Friday, August 25, 1989	M	MUMBAI	18271.53	Thursday, August 4, 2016	6:02:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T182553	C7026671	Thursday, September 14, 1989	M	MUMBAI	24510.98	Tuesday, August 9, 2016	1:39:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster1
T194818	C7898892	Monday, December 11, 1989	M	MUMBAI	10176.12	Tuesday, August 9, 2016	8:41:00 PM	500	27	Valid	Aug-16	Tuesday	26-35	27	Cluster2
T206323	C8420782	Wednesday, April 19, 1989	M	MUMBAI	43960.92	Monday, August 8, 2016	11:18:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T213509	C2920053	Sunday, March 12, 1989	M	MUMBAI	121747.74	Monday, August 8, 2016	1:57:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T216422	C5023751	Sunday, June 25, 1989	M	MUMBAI	10329.72	Monday, August 8, 2016	9:21:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T234497	C3639945	Saturday, September 16, 1989	M	MUMBAI	60714.54	Sunday, August 7, 2016	2:35:00 PM	500	27	Valid	Aug-16	Sunday	26-35	27	Cluster1
T253296	C2021457	Wednesday, November 29, 1989	M	MUMBAI	11827.81	Friday, August 12, 2016	9:55:00 AM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T265014	C7024477	Thursday, March 9, 1989	M	MUMBAI	29287.09	Friday, August 12, 2016	5:21:00 PM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T270445	C1115575	Monday, March 13, 1989	M	MUMBAI	4032.57	Friday, August 12, 2016	10:02:00 PM	500	27	Valid	Aug-16	Friday	26-35	27	Cluster2
T288026	C5013189	Monday, September 4, 1989	M	MUMBAI	86294.48	Thursday, August 11, 2016	5:18:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T297233	C7124444	Thursday, March 9, 1989	M	MUMBAI	29287.09	Thursday, August 11, 2016	11:43:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster1
T297443	C8542213	Saturday, October 14, 1989	M	MUMBAI	57645.88	Wednesday, August 10, 2016	12:05:00 AM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T298042	C2623420	Friday, August 4, 1989	M	MUMBAI	64.79	Thursday, August 11, 2016	10:21:00 PM	500	27	Valid	Aug-16	Thursday	26-35	27	Cluster2
T299586	C2829540	Thursday, January 5, 1989	M	MUMBAI	19894.16	Wednesday, August 10, 2016	11:02:00 AM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T305611	C5020712	Wednesday, April 19, 1989	M	MUMBAI	43960.92	Wednesday, August 10, 2016	4:24:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster1
T314198	C3859892	Monday, January 2, 1989	M	MUMBAI	3733.19	Wednesday, August 10, 2016	10:40:00 PM	500	27	Valid	Aug-16	Wednesday	26-35	27	Cluster2
T324778	C7816472	Monday, February 6, 1989	M	MUMBAI	414.45	Monday, August 15, 2016	2:07:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
T325124	C8813161	Monday, September 4, 1989	M	MUMBAI	86294.48	Monday, August 15, 2016	11:30:00 AM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster1
T326629	C1450155	Sunday, September 17, 1989	M	MUMBAI	12473.07	Monday, August 15, 2016	12:54:00 PM	500	27	Valid	Aug-16	Monday	26-35	27	Cluster2
